provincia,area
Buenos Aires,306094.27583913
Ciudad Autónoma de Buenos Aires,376.505176882156
Catamarca,101392.520642998
Chaco,99291.9361558456
Chubut,225213.465816789
Córdoba,168142.39475505
Corrientes,89089.4487179926
Entre Ríos,78186.3711832052
Formosa,75916.849159977
Jujuy,53615.4551122286
La Pampa,142670.457760129
La Rioja,90435.8552357487
Mendoza,150803.95448548
Misiones,29432.4929094883
Neuquén,94685.5269078465
Río Negro,202639.840421548
Salta,155449.405515502
San Juan,87851.2804415307
San Luis,77364.1721633854
Santa Cruz,244142.518266721
Santa Fe,132674.483196239
Santiago del Estero,134924.369092314
"Tierra del Fuego, Antartida e Islas del Atlantico Sur, Territorio Nacional de la",21079.3475182941
Tucumán,22832.9733640815
