anio,provincia,provincia_id,departamento,departamento_id,vacas,vaquillonas,novillos,novillitos,terneros,terneras,toros,toritos,bueyes
2008,Buenos Aires,6,Adolfo Alsina,6007,95188,32850,34436,30635,37568,35323,4679,NA,NA
2009,Buenos Aires,6,Adolfo Alsina,6007,90476,27249,30725,30221,36100,33981,4153,NA,NA
2010,Buenos Aires,6,Adolfo Alsina,6007,73728,23288,24469,24146,26042,25452,3517,NA,NA
2011,Buenos Aires,6,Adolfo Alsina,6007,71648,30229,18630,21725,26302,25316,3358,NA,1
2012,Buenos Aires,6,Adolfo Alsina,6007,81254,30784,19297,18887,30677,28833,3519,NA,NA
2013,Buenos Aires,6,Adolfo Alsina,6007,88337,33245,23354,19128,33862,33213,3679,141,NA
2014,Buenos Aires,6,Adolfo Alsina,6007,90592,32303,19314,21673,34156,32864,3930,84,NA
2015,Buenos Aires,6,Adolfo Alsina,6007,91565,31619,22107,17817,33187,31401,3631,465,82
2016,Buenos Aires,6,Adolfo Alsina,6007,103097,34050,20949,19312,39012,37928,3495,505,71
2017,Buenos Aires,6,Adolfo Alsina,6007,110054,39340,20584,23625,43596,41662,3898,16,774
2018,Buenos Aires,6,Adolfo Alsina,6007,116665,35156,21716,22995,41643,41417,4001,750,51
2019,Buenos Aires,6,Adolfo Alsina,6007,112900,37044,18952,25647,42904,41960,3953,623,10
2008,Buenos Aires,6,Alberti,6021,17818,4980,2642,3833,6538,6275,1057,NA,NA
2009,Buenos Aires,6,Alberti,6021,16191,4751,1460,3289,6103,6099,1373,NA,NA
2010,Buenos Aires,6,Alberti,6021,15265,3621,2235,3164,5670,5904,2116,NA,NA
2011,Buenos Aires,6,Alberti,6021,14784,4149,1308,2944,6750,5456,1281,NA,2
2012,Buenos Aires,6,Alberti,6021,15251,4092,1070,3009,5539,5729,1351,NA,NA
2013,Buenos Aires,6,Alberti,6021,15541,4398,1048,3114,7630,5885,1347,660,NA
2014,Buenos Aires,6,Alberti,6021,16527,3635,1199,2866,7142,7326,1328,20,NA
2015,Buenos Aires,6,Alberti,6021,15933,3508,1086,1698,6646,6665,770,838,NA
2016,Buenos Aires,6,Alberti,6021,16230,3193,873,2103,6964,6736,864,721,NA
2017,Buenos Aires,6,Alberti,6021,15895,4148,531,1870,7858,7454,948,NA,769
2018,Buenos Aires,6,Alberti,6021,16836,3849,1319,1862,6722,7119,719,861,NA
2019,Buenos Aires,6,Alberti,6021,16601,4510,1734,2776,6956,7279,890,940,NA
2008,Buenos Aires,6,Almirante Brown,6028,328,33,133,29,106,111,19,NA,NA
2009,Buenos Aires,6,Almirante Brown,6028,234,56,93,32,86,77,16,NA,NA
2010,Buenos Aires,6,Almirante Brown,6028,228,43,8,22,38,45,16,NA,NA
2011,Buenos Aires,6,Almirante Brown,6028,210,39,1,10,30,57,14,NA,NA
2012,Buenos Aires,6,Almirante Brown,6028,201,37,1,5,69,69,12,NA,NA
2013,Buenos Aires,6,Almirante Brown,6028,189,39,1,10,40,62,12,NA,NA
2014,Buenos Aires,6,Almirante Brown,6028,181,27,1,9,34,58,8,NA,NA
2015,Buenos Aires,6,Almirante Brown,6028,163,29,2,9,59,59,9,1,NA
2016,Buenos Aires,6,Almirante Brown,6028,136,32,1,5,46,52,10,1,NA
2017,Buenos Aires,6,Almirante Brown,6028,127,35,1,NA,53,37,7,NA,4
2018,Buenos Aires,6,Almirante Brown,6028,198,24,3,2,80,64,8,6,NA
2019,Buenos Aires,6,Almirante Brown,6028,180,29,NA,8,54,55,8,1,NA
2008,Buenos Aires,6,Florentino Ameghino,6277,55216,16495,8678,8928,23111,20468,2544,NA,NA
2009,Buenos Aires,6,Florentino Ameghino,6277,46486,11747,9539,4926,18928,20097,2173,NA,NA
2010,Buenos Aires,6,Florentino Ameghino,6277,40730,12033,6411,4945,17413,19388,1878,NA,NA
2011,Buenos Aires,6,Florentino Ameghino,6277,45474,13731,7077,4837,16382,17434,1981,NA,NA
2012,Buenos Aires,6,Florentino Ameghino,6277,44830,13693,4945,5267,18491,17650,1860,NA,NA
2013,Buenos Aires,6,Florentino Ameghino,6277,45871,13178,3406,4977,17312,18604,2248,3,7
2014,Buenos Aires,6,Florentino Ameghino,6277,48481,15527,3575,5162,20535,18846,2210,30,NA
2015,Buenos Aires,6,Florentino Ameghino,6277,49120,14817,3369,6250,21166,21205,1981,125,NA
2016,Buenos Aires,6,Florentino Ameghino,6277,51697,16234,4250,6504,21763,20867,2112,85,NA
2017,Buenos Aires,6,Florentino Ameghino,6277,52834,17301,6200,8780,20343,19980,2085,NA,155
2018,Buenos Aires,6,Florentino Ameghino,6277,52441,13540,3481,8590,20752,19326,1958,318,NA
2019,Buenos Aires,6,Florentino Ameghino,6277,55118,15664,4516,9091,22694,20528,1875,198,1
2008,Buenos Aires,6,Arrecifes,6077,16408,4337,3651,4491,7130,6840,1001,NA,NA
2009,Buenos Aires,6,Arrecifes,6077,14194,5084,4652,4712,6613,6820,982,NA,NA
2010,Buenos Aires,6,Arrecifes,6077,14428,3265,2047,4021,5982,6050,845,NA,NA
2011,Buenos Aires,6,Arrecifes,6077,14138,4421,2366,3867,7033,5836,809,NA,NA
2012,Buenos Aires,6,Arrecifes,6077,15085,3745,1886,4238,6734,7005,788,NA,NA
