pais,continente,anio,variable,valor
Afganistán,Asia,1952,esperanza_de_vida,28.801
Afganistán,Asia,1957,esperanza_de_vida,30.332
Afganistán,Asia,1962,esperanza_de_vida,31.997
Afganistán,Asia,1967,esperanza_de_vida,34.02
Afganistán,Asia,1972,esperanza_de_vida,36.088
Afganistán,Asia,1977,esperanza_de_vida,38.438
Afganistán,Asia,1982,esperanza_de_vida,39.854
Afganistán,Asia,1987,esperanza_de_vida,40.822
Afganistán,Asia,1992,esperanza_de_vida,41.674
Afganistán,Asia,1997,esperanza_de_vida,41.763
Afganistán,Asia,2002,esperanza_de_vida,42.129
Afganistán,Asia,2007,esperanza_de_vida,43.828
Albania,Europa,1952,esperanza_de_vida,55.23
Albania,Europa,1957,esperanza_de_vida,59.28
Albania,Europa,1962,esperanza_de_vida,64.82
Albania,Europa,1967,esperanza_de_vida,66.22
Albania,Europa,1972,esperanza_de_vida,67.69
Albania,Europa,1977,esperanza_de_vida,68.93
Albania,Europa,1982,esperanza_de_vida,70.42
Albania,Europa,1987,esperanza_de_vida,72
Albania,Europa,1992,esperanza_de_vida,71.581
Albania,Europa,1997,esperanza_de_vida,72.95
Albania,Europa,2002,esperanza_de_vida,75.651
Albania,Europa,2007,esperanza_de_vida,76.423
Argelia,África,1952,esperanza_de_vida,43.077
Argelia,África,1957,esperanza_de_vida,45.685
Argelia,África,1962,esperanza_de_vida,48.303
Argelia,África,1967,esperanza_de_vida,51.407
Argelia,África,1972,esperanza_de_vida,54.518
Argelia,África,1977,esperanza_de_vida,58.014
Argelia,África,1982,esperanza_de_vida,61.368
Argelia,África,1987,esperanza_de_vida,65.799
Argelia,África,1992,esperanza_de_vida,67.744
Argelia,África,1997,esperanza_de_vida,69.152
Argelia,África,2002,esperanza_de_vida,70.994
Argelia,África,2007,esperanza_de_vida,72.301
Angola,África,1952,esperanza_de_vida,30.015
Angola,África,1957,esperanza_de_vida,31.999
Angola,África,1962,esperanza_de_vida,34
Angola,África,1967,esperanza_de_vida,35.985
Angola,África,1972,esperanza_de_vida,37.928
Angola,África,1977,esperanza_de_vida,39.483
Angola,África,1982,esperanza_de_vida,39.942
Angola,África,1987,esperanza_de_vida,39.906
Angola,África,1992,esperanza_de_vida,40.647
Angola,África,1997,esperanza_de_vida,40.963
Angola,África,2002,esperanza_de_vida,41.003
Angola,África,2007,esperanza_de_vida,42.731
Argentina,Américas,1952,esperanza_de_vida,62.485
Argentina,Américas,1957,esperanza_de_vida,64.399
Argentina,Américas,1962,esperanza_de_vida,65.142
Argentina,Américas,1967,esperanza_de_vida,65.634
Argentina,Américas,1972,esperanza_de_vida,67.065
Argentina,Américas,1977,esperanza_de_vida,68.481
Argentina,Américas,1982,esperanza_de_vida,69.942
Argentina,Américas,1987,esperanza_de_vida,70.774
Argentina,Américas,1992,esperanza_de_vida,71.868
Argentina,Américas,1997,esperanza_de_vida,73.275
Argentina,Américas,2002,esperanza_de_vida,74.34
Argentina,Américas,2007,esperanza_de_vida,75.32
Australia,Oceanía,1952,esperanza_de_vida,69.12
Australia,Oceanía,1957,esperanza_de_vida,70.33
Australia,Oceanía,1962,esperanza_de_vida,70.93
Australia,Oceanía,1967,esperanza_de_vida,71.1
Australia,Oceanía,1972,esperanza_de_vida,71.93
Australia,Oceanía,1977,esperanza_de_vida,73.49
Australia,Oceanía,1982,esperanza_de_vida,74.74
Australia,Oceanía,1987,esperanza_de_vida,76.32
Australia,Oceanía,1992,esperanza_de_vida,77.56
Australia,Oceanía,1997,esperanza_de_vida,78.83
Australia,Oceanía,2002,esperanza_de_vida,80.37
Australia,Oceanía,2007,esperanza_de_vida,81.235
Austria,Europa,1952,esperanza_de_vida,66.8
Austria,Europa,1957,esperanza_de_vida,67.48
Austria,Europa,1962,esperanza_de_vida,69.54
Austria,Europa,1967,esperanza_de_vida,70.14
Austria,Europa,1972,esperanza_de_vida,70.63
Austria,Europa,1977,esperanza_de_vida,72.17
Austria,Europa,1982,esperanza_de_vida,73.18
Austria,Europa,1987,esperanza_de_vida,74.94
Austria,Europa,1992,esperanza_de_vida,76.04
Austria,Europa,1997,esperanza_de_vida,77.51
Austria,Europa,2002,esperanza_de_vida,78.98
Austria,Europa,2007,esperanza_de_vida,79.829
Baréin,Asia,1952,esperanza_de_vida,50.939
Baréin,Asia,1957,esperanza_de_vida,53.832
Baréin,Asia,1962,esperanza_de_vida,56.923
Baréin,Asia,1967,esperanza_de_vida,59.923
Baréin,Asia,1972,esperanza_de_vida,63.3
Baréin,Asia,1977,esperanza_de_vida,65.593
Baréin,Asia,1982,esperanza_de_vida,69.052
Baréin,Asia,1987,esperanza_de_vida,70.75
Baréin,Asia,1992,esperanza_de_vida,72.601
Baréin,Asia,1997,esperanza_de_vida,73.925
Baréin,Asia,2002,esperanza_de_vida,74.795
Baréin,Asia,2007,esperanza_de_vida,75.635
Bangladesh,Asia,1952,esperanza_de_vida,37.484
Bangladesh,Asia,1957,esperanza_de_vida,39.348
Bangladesh,Asia,1962,esperanza_de_vida,41.216
Bangladesh,Asia,1967,esperanza_de_vida,43.453
Bangladesh,Asia,1972,esperanza_de_vida,45.252
Bangladesh,Asia,1977,esperanza_de_vida,46.923
Bangladesh,Asia,1982,esperanza_de_vida,50.009
Bangladesh,Asia,1987,esperanza_de_vida,52.819
Bangladesh,Asia,1992,esperanza_de_vida,56.018
Bangladesh,Asia,1997,esperanza_de_vida,59.412
Bangladesh,Asia,2002,esperanza_de_vida,62.013
Bangladesh,Asia,2007,esperanza_de_vida,64.062
Bélgica,Europa,1952,esperanza_de_vida,68
Bélgica,Europa,1957,esperanza_de_vida,69.24
Bélgica,Europa,1962,esperanza_de_vida,70.25
