indice_tiempo,residentes,no_residentes,total,buenos_aires_residentes,buenos_aires_no_residentes,buenos_aires_total,cordoba_residentes,cordoba_no_residentes,cordoba_total,cuyo_residentes,cuyo_no_residentes,cuyo_total,litoral_residentes,litoral_no_residentes,litoral_total,norte_residentes,norte_no_residentes,norte_total,patagonia_residentes,patagonia_no_residentes,patagonia_total
2008-01,352303,198407,550710,885,0,885,717,145,862,4965,179,5144,111408,55335,166743,4241,774,5016,230087,141973,372060
2008-02,283145,151809,434953,624,0,624,475,148,623,4803,139,4942,85853,53596,139449,5099,1294,6393,186291,96632,282923
2008-03,172711,148956,321667,0,0,0,741,147,888,5722,178,5900,59150,55130,114280,9204,1696,10900,97894,91805,189699
2008-04,61491,68606,130097,462,0,462,539,166,705,1730,78,1808,23821,30827,54648,3867,728,4595,31073,36807,67879
2008-05,48787,43751,92538,1091,0,1091,608,129,737,2299,103,2402,28538,29818,58356,5083,663,5746,11169,13038,24206
2008-06,40502,30907,71409,1126,0,1126,112,80,192,1388,31,1419,24447,20065,44513,3579,409,3988,9850,10322,20172
2008-07,134956,60520,195476,1304,0,1304,741,272,1013,6207,131,6338,84740,36230,120970,19626,2475,22101,22338,21411,43750
2008-08,122110,63082,185192,2912,0,2912,915,224,1139,5844,109,5953,81184,37508,118692,10326,1066,11392,20928,24175,45104
2008-09,109375,64259,173634,1394,0,1394,886,134,1020,3205,76,3281,62209,30195,92404,8319,1362,9681,33362,32492,65854
2008-10,148809,94066,242875,2004,0,2004,1387,168,1555,3578,150,3728,75282,42782,118064,7747,1319,9066,58811,49647,108458
2008-11,115950,133918,249868,1969,0,1969,1266,240,1506,1660,206,1866,54605,50950,105555,4502,1407,5909,51948,81115,133063
2008-12,124866,121793,246659,496,0,496,561,184,745,1295,146,1441,37959,43988,81947,5918,2244,8162,78637,75231,153868
2009-01,398099,122463,520561,1107,0,1107,2025,127,2152,6669,192,6861,113012,48493,161505,11976,2361,14337,263309,71290,334599
2009-02,279372,113661,393033,1074,0,1074,1413,128,1541,5313,175,5488,84450,45576,130026,5035,1216,6251,182087,66566,248653
2009-03,136672,91824,228496,1393,0,1393,1309,170,1479,2498,176,2674,42747,41804,84551,4895,1780,6675,83830,47894,131724
2009-04,135248,64864,200112,1225,0,1225,1820,255,2075,4693,148,4841,59085,35776,94861,6807,1201,8008,61618,27484,89102
2009-05,80374,31467,111840,2174,0,2174,2299,235,2534,3058,87,3145,40377,21453,61830,5053,977,6030,27412,8715,36127
2009-06,60586,24737,85323,871,0,871,592,100,692,1728,55,1783,33307,18326,51633,3496,409,3905,20592,5847,26439
2009-07,142354,39257,181611,2067,0,2067,1385,122,1507,7988,88,8076,79486,26420,105906,18450,2442,20892,32977,10185,43163
2009-08,84314,40970,125284,2077,0,2077,886,125,1011,3111,78,3189,53899,27383,81282,8000,1974,9974,16341,11410,27751
2009-09,119199,44477,163676,1602,0,1602,1913,243,2156,2802,49,2851,64369,26090,90459,6356,978,7334,42157,17117,59274
2009-10,153989,77256,231245,1751,0,1751,2563,195,2758,3115,118,3233,81518,37995,119513,7586,1152,8738,57456,37797,95252
2009-11,121505,119309,240814,581,0,581,1258,207,1465,1880,191,2071,54563,46716,101279,3479,1313,4792,59744,70883,130626
2009-12,119022,118901,237923,848,0,848,1105,218,1323,1581,164,1745,39850,45649,85499,2050,944,2994,73588,71926,145514
2010-01,448226,147727,595953,582,0,582,1975,66,2041,6672,187,6859,113616,55218,168834,10856,1911,12767,314525,90345,404870
2010-02,288300,136061,424360,706,0,706,1798,199,1997,5313,144,5457,75843,51064,126907,9210,3472,12682,195430,81182,276611
2010-03,157309,99504,256813,1141,0,1141,1130,259,1389,2274,172,2446,41499,43249,84748,3933,1250,5183,107332,54574,161906
