indice_tiempo,region,residentes,noresidentes,total
2008-01-01,buenos-aires,885,0,885
2008-01-01,cordoba,717,145,862
2008-01-01,cuyo,4965,179,5144
2008-01-01,litoral,111408,55335,166743
2008-01-01,norte,4241,774,5016
2008-01-01,patagonia,230087,141973,372060
2008-02-01,buenos-aires,624,0,624
2008-02-01,cordoba,475,148,623
2008-02-01,cuyo,4803,139,4942
2008-02-01,litoral,85853,53596,139449
2008-02-01,norte,5099,1294,6393
2008-02-01,patagonia,186291,96632,282923
2008-03-01,buenos-aires,0,0,0
2008-03-01,cordoba,741,147,888
2008-03-01,cuyo,5722,178,5900
2008-03-01,litoral,59150,55130,114280
2008-03-01,norte,9204,1696,10900
2008-03-01,patagonia,97894,91805,189699
2008-04-01,buenos-aires,462,0,462
2008-04-01,cordoba,539,166,705
2008-04-01,cuyo,1730,78,1808
2008-04-01,litoral,23821,30827,54648
2008-04-01,norte,3867,728,4595
2008-04-01,patagonia,31073,36807,67879
2008-05-01,buenos-aires,1091,0,1091
2008-05-01,cordoba,608,129,737
2008-05-01,cuyo,2299,103,2402
2008-05-01,litoral,28538,29818,58356
2008-05-01,norte,5083,663,5746
2008-05-01,patagonia,11169,13038,24206
2008-06-01,buenos-aires,1126,0,1126
2008-06-01,cordoba,112,80,192
2008-06-01,cuyo,1388,31,1419
2008-06-01,litoral,24447,20065,44513
2008-06-01,norte,3579,409,3988
2008-06-01,patagonia,9850,10322,20172
2008-07-01,buenos-aires,1304,0,1304
2008-07-01,cordoba,741,272,1013
2008-07-01,cuyo,6207,131,6338
2008-07-01,litoral,84740,36230,120970
2008-07-01,norte,19626,2475,22101
2008-07-01,patagonia,22338,21411,43750
2008-08-01,buenos-aires,2912,0,2912
2008-08-01,cordoba,915,224,1139
2008-08-01,cuyo,5844,109,5953
2008-08-01,litoral,81184,37508,118692
2008-08-01,norte,10326,1066,11392
2008-08-01,patagonia,20928,24175,45104
2008-09-01,buenos-aires,1394,0,1394
2008-09-01,cordoba,886,134,1020
2008-09-01,cuyo,3205,76,3281
2008-09-01,litoral,62209,30195,92404
2008-09-01,norte,8319,1362,9681
2008-09-01,patagonia,33362,32492,65854
2008-10-01,buenos-aires,2004,0,2004
2008-10-01,cordoba,1387,168,1555
2008-10-01,cuyo,3578,150,3728
2008-10-01,litoral,75282,42782,118064
2008-10-01,norte,7747,1319,9066
2008-10-01,patagonia,58811,49647,108458
2008-11-01,buenos-aires,1969,0,1969
2008-11-01,cordoba,1266,240,1506
2008-11-01,cuyo,1660,206,1866
2008-11-01,litoral,54605,50950,105555
2008-11-01,norte,4502,1407,5909
2008-11-01,patagonia,51948,81115,133063
2008-12-01,buenos-aires,496,0,496
2008-12-01,cordoba,561,184,745
2008-12-01,cuyo,1295,146,1441
2008-12-01,litoral,37959,43988,81947
2008-12-01,norte,5918,2244,8162
2008-12-01,patagonia,78637,75231,153868
2009-01-01,buenos-aires,1107,0,1107
2009-01-01,cordoba,2025,127,2152
2009-01-01,cuyo,6669,192,6861
2009-01-01,litoral,113012,48493,161505
2009-01-01,norte,11976,2361,14337
2009-01-01,patagonia,263309,71290,334599
2009-02-01,buenos-aires,1074,0,1074
2009-02-01,cordoba,1413,128,1541
2009-02-01,cuyo,5313,175,5488
2009-02-01,litoral,84450,45576,130026
2009-02-01,norte,5035,1216,6251
2009-02-01,patagonia,182087,66566,248653
2009-03-01,buenos-aires,1393,0,1393
2009-03-01,cordoba,1309,170,1479
2009-03-01,cuyo,2498,176,2674
2009-03-01,litoral,42747,41804,84551
2009-03-01,norte,4895,1780,6675
2009-03-01,patagonia,83830,47894,131724
