indice_tiempo,edad,turistas
2012-01,Menores de 14,2700561
2012-01,14 a 29,3143845
2012-01,30 a 44,3234308
2012-01,45 a 59,2126707
2012-01,60 o mas,1268445
2012-04,Menores de 14,957231
2012-04,14 a 29,1296808
2012-04,30 a 44,1377356
2012-04,45 a 59,1021227
2012-04,60 o mas,771842
2012-07,Menores de 14,1221911
2012-07,14 a 29,1171650
2012-07,30 a 44,1451129
2012-07,45 a 59,969841
2012-07,60 o mas,670333
2012-10,Menores de 14,1172970
2012-10,14 a 29,1295468
2012-10,30 a 44,1569272
2012-10,45 a 59,1113744
2012-10,60 o mas,795932
2013-01,Menores de 14,2604040
2013-01,14 a 29,2663484
2013-01,30 a 44,2871365
2013-01,45 a 59,1911014
2013-01,60 o mas,1219637
2013-04,Menores de 14,942360
2013-04,14 a 29,1281520
2013-04,30 a 44,1410716
2013-04,45 a 59,1058601
2013-04,60 o mas,979070
2013-07,Menores de 14,1341895
2013-07,14 a 29,1512696
2013-07,30 a 44,1503018
2013-07,45 a 59,1288599
2013-07,60 o mas,947548
2013-10,Menores de 14,1382380
2013-10,14 a 29,1532477
2013-10,30 a 44,1469291
2013-10,45 a 59,1365256
2013-10,60 o mas,957856
2014-01,Menores de 14,2706215
2014-01,14 a 29,2625431
2014-01,30 a 44,2860387
2014-01,45 a 59,2030539
2014-01,60 o mas,1430042
2014-04,Menores de 14,1006238
2014-04,14 a 29,1334491
2014-04,30 a 44,1239219
2014-04,45 a 59,1035445
2014-04,60 o mas,852652
2014-07,Menores de 14,1070042
2014-07,14 a 29,1551463
2014-07,30 a 44,1297395
2014-07,45 a 59,1267855
2014-07,60 o mas,1067865
2014-10,Menores de 14,1074400
2014-10,14 a 29,1149638
2014-10,30 a 44,1307230
2014-10,45 a 59,976634
2014-10,60 o mas,1040384
2015-01,Menores de 14,2798150
2015-01,14 a 29,2865116
2015-01,30 a 44,2692215
2015-01,45 a 59,1968555
2015-01,60 o mas,1348440
2015-04,Menores de 14,843542
2015-04,14 a 29,1000356
2015-04,30 a 44,1110895
2015-04,45 a 59,947239
2015-04,60 o mas,828641
2015-07,Menores de 14,1165602
2015-07,14 a 29,1237824
2015-07,30 a 44,1355572
2015-07,45 a 59,1012536
2015-07,60 o mas,834634
2015-10,Menores de 14,1122210
2015-10,14 a 29,1225808
2015-10,30 a 44,1208286
2015-10,45 a 59,763172
2015-10,60 o mas,844001
2016-01,Menores de 14,2498435
2016-01,14 a 29,2071611
2016-01,30 a 44,2276462
2016-01,45 a 59,1760037
2016-01,60 o mas,1194142
2016-04,Menores de 14,519695
2016-04,14 a 29,546180
2016-04,30 a 44,719001
2016-04,45 a 59,659410
2016-04,60 o mas,747469
2016-07,Menores de 14,1464465
2016-07,14 a 29,1407820
2016-07,30 a 44,1460772
2016-07,45 a 59,1129274
2016-07,60 o mas,1021232
2016-10,Menores de 14,1268340
2016-10,14 a 29,1314075
2016-10,30 a 44,1397001
2016-10,45 a 59,1179281
2016-10,60 o mas,930063
2017-01,Menores de 14,2125730
2017-01,14 a 29,2270557
2017-01,30 a 44,2416375
2017-01,45 a 59,2038691
2017-01,60 o mas,1505697
2017-04,Menores de 14,692542
2017-04,14 a 29,981893
2017-04,30 a 44,996678
2017-04,45 a 59,937203
2017-04,60 o mas,1017878
2017-07,Menores de 14,1451013
2017-07,14 a 29,1925696
2017-07,30 a 44,1911293
2017-07,45 a 59,1682193
2017-07,60 o mas,1433639
2017-10,Menores de 14,1421490
2017-10,14 a 29,1416450
2017-10,30 a 44,1549923
2017-10,45 a 59,1188247
2017-10,60 o mas,1411697
2018-01,Menores de 14,2449263
2018-01,14 a 29,2455987
2018-01,30 a 44,2675554
2018-01,45 a 59,2001527
2018-01,60 o mas,1839034
2018-04,Menores de 14,612701
2018-04,14 a 29,844543
2018-04,30 a 44,871233
2018-04,45 a 59,827516
2018-04,60 o mas,1047000
2018-07,Menores de 14,1028254
2018-07,14 a 29,1105904
2018-07,30 a 44,1219361
2018-07,45 a 59,1104640
2018-07,60 o mas,1035067
2018-10,Menores de 14,1435272
2018-10,14 a 29,1293263
2018-10,30 a 44,1340986
2018-10,45 a 59,1195302
2018-10,60 o mas,1140003
2019-01,Menores de 14,2193605
2019-01,14 a 29,2032234
2019-01,30 a 44,2254407
2019-01,45 a 59,1975189
2019-01,60 o mas,1505296
2019-04,Menores de 14,700049
2019-04,14 a 29,675750
2019-04,30 a 44,830270
2019-04,45 a 59,912140
2019-04,60 o mas,1158101
2019-07,Menores de 14,1284625
2019-07,14 a 29,1173386
2019-07,30 a 44,1184287
2019-07,45 a 59,1232753
2019-07,60 o mas,1224213
2019-10,Menores de 14,1328738
2019-10,14 a 29,1148250
2019-10,30 a 44,1339919
2019-10,45 a 59,1418227
2019-10,60 o mas,1150207
2020-01,Menores de 14,1999598
2020-01,14 a 29,1766852
2020-01,30 a 44,1860206
2020-01,45 a 59,1784891
2020-01,60 o mas,1379524
2020-04,Menores de 14,9193
2020-04,14 a 29,41762
2020-04,30 a 44,38938
2020-04,45 a 59,39478
2020-04,60 o mas,45492
2020-07,Menores de 14,112830
2020-07,14 a 29,68789
2020-07,30 a 44,218359
2020-07,45 a 59,110488
2020-07,60 o mas,149897
2020-10,Menores de 14,553691
2020-10,14 a 29,438972
2020-10,30 a 44,563615
2020-10,45 a 59,703652
2020-10,60 o mas,412512
